Moive_ID,Movie Rating,Duration,Gross_M,Worldwide LT Gross,Metascore,movie_age,Actionn,Comedy,Drama,Romance,Horror,Sci_fi,Family,Vote_Catg
Harry Potter and the Prisoner of Azkaban_2004,7.9,142,249,797568607,82,19,0,0,0,0,0,0,1,Adequate
Pirates of the Caribbean: Dead Men Tell No Tales_2017,6.5,129,172,794881442,39,6,1,0,0,0,0,0,0,Adequate
E.T. the Extra-Terrestrial_1982,7.9,115,435,792910554,91,41,0,0,0,0,0,1,1,Adequate
Mission: Impossible - Fallout_2018,7.7,147,220,791657398,86,5,1,0,0,0,0,0,0,Adequate
2012_2009,5.8,158,166,791217826,49,14,1,0,0,0,0,1,0,Adequate
Indiana Jones and the Kingdom of the Crystal Skull_2008,6.2,122,317,790653942,65,15,1,0,0,0,0,0,0,Adequate
Spider-Man 2_2004,7.4,127,373,788976453,83,19,1,0,0,0,0,1,0,Adequate
Furious 6_2013,7,130,238,788680968,61,10,1,0,0,0,0,0,0,Adequate
Deadpool 2_2018,7.7,119,324,785896609,66,5,1,1,0,0,0,0,0,Adequate
Deadpool_2016,8,108,363,782836791,65,7,1,1,0,0,0,0,0,High
Star Wars_1977,8.6,121,322,775398007,90,46,1,0,0,0,0,0,0,High
No Time to Die_2021,7.3,163,160,774153007,68,2,1,0,0,0,0,0,0,Adequate
Guardians of the Galaxy_2014,8,121,333,773350147,76,9,1,1,0,0,0,0,0,High
The Batman_2022,7.9,176,0,770836163,72,1,1,0,1,0,0,0,0,Adequate
The Da Vinci Code_2006,6.6,149,217,760006945,46,17,0,0,0,0,0,0,0,Adequate
Fast & Furious Presents: Hobbs & Shaw_2019,6.5,137,173,759056935,60,4,1,0,0,0,0,0,0,Adequate
Maleficent_2014,6.9,97,241,758411779,56,9,0,0,0,0,0,0,1,Adequate
The Amazing Spider-Man_2012,6.9,136,262,757930663,66,11,1,0,0,0,0,1,0,Adequate
The Hunger Games: Mockingjay - Part 1_2014,6.6,123,337,755356711,64,9,1,0,0,0,0,1,0,Adequate
Shrek Forever After_2010,6.3,93,238,752600867,58,13,0,1,0,0,0,0,0,Adequate
Thor: Love and Thunder_2022,6.4,118,0,750858321,57,1,1,1,0,0,0,0,0,Adequate
Madagascar 3: Europe's Most Wanted_2012,6.8,95,216,746921274,60,11,0,1,0,0,0,0,0,Adequate
Suicide Squad_2016,5.9,123,325,746846894,40,7,1,0,0,0,0,0,0,Adequate
X-Men: Days of Future Past_2014,7.9,132,233,746045700,75,9,1,0,0,0,0,1,0,Adequate
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe_2005",6.9,143,291,745013115,75,18,0,0,0,0,0,0,1,Adequate
Monsters University_2013,7.2,104,268,743559645,65,10,0,1,0,0,0,0,0,Adequate
The Matrix Reloaded_2003,7.2,138,281,741847937,62,20,1,0,0,0,0,1,0,Adequate
Up_2009,8.3,96,293,735099102,88,14,0,1,0,0,0,0,0,High
Ne Zha zhi mo tong jiang shi_2019,7.4,110,3,726264074,54,4,1,0,0,0,0,0,0,Low
F9_2021,5.2,143,173,726229501,58,2,1,0,0,0,0,0,0,Adequate
Gravity_2013,7.7,91,274,723192705,96,10,0,0,1,0,0,1,0,Adequate
Captain America: The Winter Soldier_2014,7.8,136,259,714421503,70,9,1,0,0,0,0,1,0,Adequate
The Twilight Saga: Breaking Dawn - Part 1_2011,4.9,117,281,712205856,45,12,0,0,1,0,0,0,0,Adequate
The Twilight Saga: New Moon_2009,4.7,130,296,711025481,44,14,0,0,1,0,0,0,0,Adequate
Dawn of the Planet of the Apes_2014,7.6,130,208,710644566,79,9,1,0,1,0,0,0,0,Adequate
Transformers_2007,7,144,319,709709780,61,16,1,0,0,0,0,1,0,Adequate
The Amazing Spider-Man 2_2014,6.6,142,202,708982323,53,9,1,0,0,0,0,1,0,Adequate
It_2017,7.3,135,327,701842551,69,6,0,0,0,0,1,0,0,Adequate
Interstellar_2014,8.6,169,188,701729206,74,9,0,0,1,0,0,1,0,High
Liu lang di qiu_2019,5.9,125,5,699992512,57,4,1,0,0,0,0,1,0,Satisfactory
The Twilight Saga: Eclipse_2010,5,124,300,698491347,58,13,1,0,1,0,0,0,0,Adequate
Mission: Impossible - Ghost Protocol_2011,7.4,132,209,694713380,73,12,1,0,0,0,0,0,0,Adequate
The Hunger Games_2012,7.2,142,408,694394724,68,11,1,0,0,0,0,1,0,Adequate
Tang ren jie tan an 3_2021,5.6,136,0,686257563,NULL,2,1,1,0,0,0,0,0,Low
Mission: Impossible - Rogue Nation_2015,7.4,131,195,682716636,75,8,1,0,0,0,0,0,0,Adequate
Forrest Gump_1994,8.8,142,330,678226465,82,29,0,0,1,1,0,0,0,High
Doctor Strange_2016,7.5,115,232,677796076,72,7,1,0,0,0,0,0,0,Adequate
The Sixth Sense_1999,8.2,107,293,672806432,64,24,0,0,1,0,0,0,0,Adequate
Man of Steel_2013,7.1,143,291,668045518,55,10,1,0,0,0,0,1,0,Adequate
Ice Age: The Meltdown_2006,6.8,91,195,667094506,60,17,0,1,0,0,0,0,0,Adequate
Kung Fu Panda 2_2011,7.2,90,165,665692281,67,12,1,0,0,0,0,0,0,Adequate
Justice League_2017,6.1,120,229,657926987,45,6,1,0,0,0,0,0,0,Adequate
Big Hero 6_2014,7.8,102,222,657869686,74,9,1,0,0,0,0,0,0,Adequate
Fantastic Beasts: The Crimes of Grindelwald_2018,6.5,134,159,654855901,52,5,0,0,0,0,0,0,1,Adequate
Pirates of the Caribbean: The Curse of the Black Pearl_2003,8.1,143,305,654264015,63,20,1,0,0,0,0,0,0,High
Star Wars: Episode II - Attack of the Clones_2002,6.6,142,310,653779970,54,21,1,0,0,0,0,0,0,Adequate
The Hunger Games: Mockingjay - Part 2_2015,6.5,137,281,653428261,65,8,1,0,0,0,0,1,0,Adequate
Thor: The Dark World_2013,6.8,112,206,644783140,54,10,1,0,0,0,0,0,0,Adequate
Moana_2016,7.6,107,248,643355082,81,7,0,1,0,0,0,0,0,Adequate
Sing_2016,7.1,108,270,634338384,59,7,0,1,0,0,0,0,1,Adequate
Kung Fu Panda_2008,7.6,92,215,632083197,74,15,1,0,0,0,0,0,0,Adequate
The Incredibles_2004,8,115,261,631607053,90,19,1,0,0,0,0,0,0,Adequate
The Martian_2015,8,144,228,630620818,80,8,0,0,1,0,0,1,0,Adequate
Hancock_2008,6.4,92,227,629443428,49,15,1,0,1,0,0,0,0,Adequate
Chang jin hu zhi shui men qiao_2022,5.4,153,0,626571280,NULL,1,1,0,1,0,0,0,0,Unconsiderable
Fast Five_2011,7.3,130,209,626137675,66,12,1,0,0,0,0,0,0,Adequate
Men in Black 3_2012,6.8,106,179,624026776,58,11,1,1,0,0,0,0,0,Adequate
Iron Man 2_2010,6.9,124,312,623933331,57,13,1,0,0,0,0,1,0,Adequate
Ratatouille_2007,8.1,111,206,623726085,96,16,0,1,0,0,0,0,0,Adequate
Ant-Man and the Wasp_2018,7,118,216,622674139,70,5,1,1,0,0,0,0,0,Adequate
How to Train Your Dragon 2_2014,7.8,102,177,621537519,77,9,1,0,0,0,0,0,0,Adequate
Logan_2017,8.1,137,226,619179950,77,6,1,0,1,0,0,1,0,Adequate
The Lost World: Jurassic Park_1997,6.5,129,229,618638999,59,26,1,0,0,0,0,1,0,Adequate
Casino Royale_2006,8,144,167,616502912,80,17,1,0,0,0,0,0,0,Adequate
The Passion of the Christ_2004,7.2,127,370,612054506,47,19,0,0,1,0,0,0,0,Adequate
Mamma Mia!_2008,6.5,108,144,611257819,51,15,0,1,0,1,0,0,0,Adequate
Life of Pi_2012,7.9,127,124,609016565,79,11,0,0,1,0,0,0,0,Adequate
Transformers: The Last Knight_2017,5.2,154,130,605425157,27,6,1,0,0,0,0,1,0,Adequate
Madagascar: Escape 2 Africa_2008,6.6,89,180,603900354,61,15,0,1,0,0,0,0,0,Adequate
War of the Worlds_2005,6.5,116,234,603873119,73,18,1,0,0,0,0,1,0,Adequate
Tangled_2010,7.7,100,200,592462816,71,13,0,1,0,0,0,0,0,Adequate
Quantum of Solace_2008,6.6,106,168,589580482,58,15,1,0,0,0,0,0,0,Adequate
Men in Black_1997,7.3,98,250,589390539,71,26,1,1,0,0,0,0,0,Adequate
The Croods_2013,7.2,98,187,587235983,55,10,0,1,0,0,0,0,0,Adequate
The Hangover Part II_2011,6.4,102,254,586764305,44,12,0,1,0,0,0,0,0,Adequate
Iron Man_2008,7.9,126,318,585796247,79,15,1,0,0,0,0,1,0,High
I Am Legend_2007,7.2,101,256,585410052,65,16,1,0,1,0,0,1,0,Adequate
Ready Player One_2018,7.4,140,137,582918849,64,5,1,0,0,0,0,1,0,Adequate
"Monsters, Inc._2001",8.1,92,289,579707738,79,22,0,1,0,0,0,0,0,Adequate
Hong hai xing dong_2018,6.6,142,1,579330426,NULL,5,1,0,1,0,0,0,0,Low
Night at the Museum_2006,6.4,108,250,574481229,48,17,0,1,0,0,0,0,1,Adequate
Fifty Shades of Grey_2015,4.1,125,166,569651467,46,8,0,0,1,1,0,0,0,Adequate
Kong: Skull Island_2017,6.6,118,168,566652812,62,6,1,0,0,0,0,0,0,Adequate
The Smurfs_2011,5.4,103,142,563749323,30,12,0,1,0,0,0,0,0,Satisfactory
Cars 2_2011,6.2,106,191,559852396,57,12,0,1,0,0,0,0,0,Adequate
King Kong_2005,7.2,187,218,556906378,81,18,1,0,1,0,0,0,0,Adequate
Puss in Boots_2011,6.6,90,149,554987477,65,12,0,1,0,0,0,0,0,Adequate
Mei ren yu_2016,6.2,94,3,553810228,69,7,0,1,1,0,0,0,0,Low
Armageddon_1998,6.7,151,201,553709788,42,25,1,0,0,0,0,1,0,Adequate
The Day After Tomorrow_2004,6.4,124,186,552639571,47,19,1,0,0,0,0,1,0,Adequate
Ted_2012,6.9,106,218,549368315,62,11,0,1,0,0,0,0,0,Adequate
American Sniper_2014,7.3,133,350,547459020,72,9,1,0,1,0,0,0,0,Adequate
Mission: Impossible II_2000,6.1,123,215,546388108,59,23,1,0,0,0,0,0,0,Adequate
Tang ren jie tan an 2_2018,6.1,121,1,544185156,48,5,1,1,0,0,0,0,0,Low
X-Men: Apocalypse_2016,6.9,144,155,543934105,52,7,1,0,0,0,0,1,0,Adequate
Sherlock Holmes: A Game of Shadows_2011,7.4,129,186,543848418,48,12,1,0,0,0,0,0,0,Adequate
Despicable Me_2010,7.6,95,251,543157985,72,13,0,1,0,0,0,0,0,Adequate
Cinderella_2015,6.9,105,201,542358331,67,8,0,0,1,0,0,0,1,Adequate
Madagascar_2005,6.9,86,193,542063846,57,18,0,1,0,0,0,0,0,Adequate
